Date,Exercise,Sets,Repetitions,Weight Avg,Working 1 Rep Max,Percentile
2023/1/7,Shoulder Press,2,3,115,123,37.5,
2023/1/6,Sumo Deadlift,5,5,311,351,39.2,
2023/1/5,Sled Leg Press,5,8,235,291,11.8,
2023/1/5,Incline Bench Press,5,12,80,119,4.6,
2023/1/5,Pendlay Row,5,6,120,143,14,
2023/1/4,Front Squat,5,8,150,186,23,
2023/1/4,Bench Press,5,5,165,188,31.2,
2023/1/2,Romanian Deadlift,5,8,135,167,10,
2023/1/2,Seated Dumbbell Shoulder Press,5,14,25,39,6.8,
2023/1/2,Pull Ups,5,5,180,203,18.2,
2022/12/31,Close Grip Bench Press,5,9,110,145,13,
2022/12/31,Squat,5,6,273,321,60.8,
2022/12/28,Hex Bar Shrug,1,15,100,163,9,
2022/12/28,Machine Lateral Raise,1,15,65,106,29,
2022/12/28,Dumbbell Curl,1,15,22,36,21,
2022/12/28,Romanian Deadlift,1,12,160,230,29,
2022/12/28,Dumbbell Shoulder Press,5,11,27,36,6.4,
2022/12/28,Pull Ups,3,8,145,183,10,
2022/12/26,Cable Crunch,3,18,70,146,24,
2022/12/26,Machine Calf Raise,3,14,205,330,48.3333,
2022/12/26,Close Grip Bench Press,3,10,110,150,14.6667,
2022/12/26,Squat,5,10,235,320,60.8,
2022/12/16,Tricep Pushdown,1,8,65,80,19,
2022/12/16,Front Squat,1,12,175,252,56,
2022/12/16,Bench Press,1,8,185,229,54,
2022/12/15,Machine Lateral Raise,3,8,100,124,45,
2022/12/15,Hammer Curl,3,8,30,37,22,
2022/12/15,Romanian Deadlift,3,10,160,219,25.6667,
2022/12/15,Dumbbell Shoulder Press,5,11,32,45,12.4,
2022/12/15,Pull Ups,2,9,150,196,14.5,
2022/12/13,Neck Extension,2,22,25,66,25,
2022/12/13,Neck Curl,2,17,25,45,25.5,
2022/12/13,Cable Crunch,3,14,60,95,15.3333,
2022/12/13,Machine Calf Raise,3,11,225,317,48,
2022/12/13,Close Grip Bench Press,2,10,135,183,33,
2022/12/13,Squat,2,7,305,369,76.5,
2022/11/30,Dumbbell Shrug,2,25,35,109,18.5,
2022/11/30,Dumbbell Lateral Raise,2,24,12,35,24,
2022/11/30,Dumbbell Curl,3,19,22,47,25.6667,
2022/11/29,Close Grip Bench Press,4,11,125,175,27.25,
2022/11/29,Squat,5,4,330,360,76,
2022/11/28,Dumbbell Shrug,3,30,30,154,15,
2022/11/28,Chin Ups,2,12,140,207,13,
2022/11/28,Seated Cable Row,2,15,100,163,22,
2022/11/28,Shoulder Press,6,5,120,135,42,
2022/11/27,Dumbbell Shrug,1,30,25,128,10,
2022/11/27,Sumo Deadlift,4,5,320,360,42,
2022/11/22,Dumbbell Reverse Fly,3,21,10,22,16.3333,
2022/11/22,Dumbbell Lateral Raise,3,20,12,26,21.3333,
2022/11/22,Hammer Curl,3,21,17,40,12.3333,
2022/11/22,Sled Leg Press,7,15,235,384,21,
2022/11/22,Incline Bench Press,4,15,75,122,4,
2022/11/22,Machine Row,10,5,137,154,19,
2022/11/21,Reverse Wrist Curl,2,22,7,17,5.5,
2022/11/21,Wrist Curl,2,30,10,51,7,
2022/11/21,Dumbbell Tricep Kickback,3,20,15,31,21,
2022/11/21,Front Squat,3,15,160,261,53,
2022/11/21,Bench Press,7,5,185,208,42,
2022/11/20,Romanian Deadlift,6,15,145,237,26,
2022/11/20,Dumbbell Shoulder Press,6,15,27,44,9,
2022/11/20,Pull Ups,6,5,167,188,10.6667,
2022/11/19,Dumbbell Calf Raise,3,23,25,67,15.3333,
2022/11/19,Close Grip Bench Press,2,12,125,185,30.5,
2022/11/19,Squat,7,5,305,343,70,
2022/11/18,Dumbbell Curl,3,17,22,40,23.3333,
2022/11/16,Romanian Deadlift,5,12,165,237,32,
2022/11/16,Dumbbell Shoulder Press,10,12,30,43,10,
2022/11/16,Pull Ups,5,3,192,203,18,
2022/11/15,Close Grip Bench Press,10,5,145,163,23,
2022/11/15,Squat,8,3,335,354,75,
2022/11/12,Machine Reverse Fly,6,12,80,115,28,
2022/11/12,Cable Overhead Tricep Extension,10,17,40,72,24,
2022/11/12,Seated Cable Row,3,10,115,157,25.6667,
2022/11/12,Chin Ups,2,12,155,223,23,
2022/11/12,Shoulder Press,10,4,120,130,39,
2022/11/11,Sumo Deadlift,1,2,380,390,54,
2022/11/10,Dumbbell Reverse Fly,4,15,15,25,24,
2022/11/10,Machine Lateral Raise,4,12,82,118,40,
2022/11/10,Hammer Curl,3,15,20,33,12.6667,
2022/11/10,Sled Leg Press,5,12,275,396,27,
2022/11/10,Incline Bench Press,4,12,85,122,6,
2022/11/10,Machine Row,10,4,132,146,16.9,
2022/11/9,Front Squat,9,6,175,203,33,
2022/11/9,Bench Press,6,4,197,214,47,
2022/11/8,Barbell Shrug,7,17,145,261,30,
2022/11/8,Dumbbell Lateral Raise,3,11,17,23,27.6667,
2022/11/8,Dumbbell Curl,5,11,22,30,18.2,
2022/11/8,Romanian Deadlift,4,12,165,237,32,
2022/11/8,Dumbbell Shoulder Press,7,12,30,43,10,
2022/11/8,Pull Ups,7,4,179,195,15,
2022/11/7,Cable Crunch,3,17,70,126,24,
2022/11/7,Machine Seated Crunch,2,17,62,111,13,
2022/11/7,Machine Calf Raise,6,12,205,295,45,
2022/11/7,Close Grip Bench Press,4,12,135,194,39,
2022/11/7,Squat,10,4,300,327,65,
2022/11/2,Dumbbell Reverse Fly,3,13,17,26,27.6667,
2022/11/2,Cable Overhead Tricep Extension,5,17,40,72,24,
2022/11/2,Machine Row,9,12,107,154,18,
2022/11/2,Shoulder Press,8,5,110,123,33,
2022/11/1,Wrist Curl,2,12,17,24,8,
2022/11/1,Reverse Wrist Curl,2,12,10,14,6,
2022/11/1,Hip Thrust,6,12,225,324,51,
2022/11/1,Chin Ups,3,9,156,203,16.3333,
2022/11/1,Sumo Deadlift,4,4,360,399,56.75,
2022/10/31,Bench Pull,4,5,115,129,16,
2022/10/31,Dumbbell Reverse Fly,5,14,15,23,23,
2022/10/31,Machine Lateral Raise,3,10,75,106,31,
2022/10/31,Hammer Curl,4,20,17,36,12,
2022/10/31,Sled Leg Press,9,10,280,373,25,
2022/10/31,Incline Bench Press,8,10,85,113,5,
2022/10/30,Hanging Knee Raise,8,9,0,0,27.625,
2022/10/30,Tricep Pushdown,3,16,42,76,11.6667,
2022/10/30,Seated Calf Raise,3,14,114,178,31.3333,
2022/10/30,Front Squat,7,7,159,190,26,
2022/10/30,Bench Press,7,5,182,204,41,
2022/10/28,Machine Lateral Raise,3,11,90,125,44.6667,
2022/10/28,Smith Machine Shrug,3,8,205,257,38,
2022/10/28,Dumbbell Curl,3,12,25,36,23,
2022/10/28,Romanian Deadlift,3,7,187,227,31.3333,
2022/10/28,Dumbbell Shoulder Press,7,10,32,42,11,
2022/10/28,Pull Ups,6,5,163,183,10,
2022/10/27,Dumbbell Lateral Raise,3,12,20,28,35,
2022/10/27,Tricep Pushdown,3,10,60,81,19.3333,
2022/10/27,Machine Calf Raise,3,10,315,426,71,
2022/10/27,Close Grip Bench Press,10,7,118,142,12.7,
2022/10/27,Squat,7,5,277,311,58,
2022/10/27,Pull Ups,1,8,190,235,36,
2022/10/24,Dumbbell Bench Press,5,9,42,54,13,
2022/10/24,Dumbbell Shoulder Press,5,12,32,46,13,
2022/10/24,Close Grip Bench Press,5,9,140,181,32.2,
2022/10/24,Shoulder Press,5,5,110,123,33,
2022/10/23,Hammer Curl,1,10,22,29,12,
2022/10/23,Barbell Power Shrug,1,10,235,313,40,
2022/10/23,Seated Cable Row,5,12,115,165,28,
2022/10/23,Pull Ups,5,5,185,208,20,
2022/10/20,Dumbbell Shoulder Press,5,12,27,38,8,
2022/10/20,Incline Bench Press,5,10,88,118,6.6,
2022/10/20,Shoulder Press,5,8,65,82,7.8,
2022/10/20,Bench Press,5,5,195,219,50,
2022/10/19,Dumbbell Reverse Fly,5,20,15,31,27,
2022/10/19,Dumbbell Curl,5,18,20,39,20,
2022/10/19,Smith Machine Shrug,5,11,200,288,45.4,
2022/10/19,One Arm Pull Ups,5,12,53,76,0,
2022/10/19,Pendlay Row,5,11,100,140,12.2,
2022/10/18,One Arm Pull Ups,1,1,54,54,0,
2022/10/18,Pendlay Row,1,1,100,100,2,
2022/10/18,Sumo Deadlift,2,6,355,422,62,
2022/10/16,Dumbbell Shoulder Press,5,5,32,36,7,
2022/10/16,Incline Bench Press,5,9,85,110,4.2,
2022/10/16,Shoulder Press,5,5,78,90,12,
2022/10/16,Bench Press,5,6,168,201,39.4,
2022/10/14,One Arm Pull Ups,5,8,65,80,0,
2022/10/14,Pendlay Row,5,10,104,143,13.2,
2022/10/14,Sumo Deadlift,5,8,280,354,40.2,
2022/10/11,Front Squat,4,4,235,260,66,
2022/10/8,Incline Dumbbell Bench Press,5,12,35,50,6,
2022/10/8,Dumbbell Shoulder Press,5,12,24,35,6.2,
2022/10/8,Bench Press,5,9,145,188,33,
2022/10/8,Shoulder Press,7,5,105,118,31,
2022/10/6,Dumbbell Reverse Fly,3,14,17,26,29,
2022/10/6,Hammer Curl,3,12,25,36,21,
2022/10/6,Barbell Power Shrug,5,16,205,373,42.8,
2022/10/6,Pendlay Row,5,9,115,148,18.2,
2022/10/6,Deadlift,5,8,265,329,48,
2022/10/6,Pull Ups,6,4,186,204,21,
2022/10/2,Romanian Deadlift,3,8,215,266,49,
2022/10/2,Squat,5,5,295,331,69,
2022/9/30,Shoulder Press,4,7,85,104,21,
2022/9/30,Bench Press,5,5,190,213,48,
2022/9/29,Pull Ups,5,7,146,178,10.2,
2022/9/29,Pendlay Row,5,5,140,157,23,
2022/9/29,Sumo Deadlift,5,5,325,365,47,
2022/9/27,Good Morning,5,8,155,192,52,
2022/9/27,Front Squat,5,4,225,251,61.2,
2022/9/26,Machine Shoulder Press,5,9,111,144,36.8,
2022/9/26,Bench Press,5,8,155,194,37.2,
2022/9/26,Shoulder Press,5,5,100,112,26,
2022/9/25,Deadlift,4,1,295,299,36,
2022/9/25,Pendlay Row,6,9,110,141,14.5,
2022/9/25,Pull Ups,6,4,181,200,18.5,
2022/9/23,Sled Leg Press,6,8,315,391,29,
2022/9/23,Romanian Deadlift,6,8,215,266,49,
2022/9/23,Squat,6,5,285,320,64,
2022/9/22,Dumbbell Shoulder Press,6,4,32,35,6.83333,
2022/9/22,Incline Bench Press,4,6,110,130,11.75,
2022/9/22,Shoulder Press,5,8,79,100,18.6,
2022/9/22,Bench Press,6,5,185,208,45,
2022/9/21,Pull Ups,5,8,141,175,8.8,
2022/9/21,Pendlay Row,6,5,135,151,20,
2022/9/21,Sumo Deadlift,6,5,315,354,43,
2022/9/19,Pendlay Row,4,6,125,145,18.5,
2022/9/19,Pull Ups,6,5,168,189,15.5,
2022/9/15,Shoulder Press,2,7,85,102,19.5,
2022/9/15,Bench Press,9,5,180,202,41,
2022/9/14,Pull Ups,4,9,143,184,11.25,
2022/9/14,Pendlay Row,8,5,130,146,16,
2022/9/14,Sumo Deadlift,2,5,320,360,44,
2022/9/13,Sled Leg Press,3,5,328,379,28.3333,
2022/9/13,Good Morning,6,8,146,181,46.1667,
2022/9/13,Front Squat,6,5,205,230,50,
2022/9/8,Incline Dumbbell Bench Press,4,10,40,53,8,
2022/9/8,Dumbbell Shoulder Press,4,5,45,52,21.5,
2022/9/8,Bench Press,4,6,175,206,43,
2022/9/8,Shoulder Press,8,5,100,112,26,
2022/9/6,Pendlay Row,4,5,130,147,17,
2022/9/6,Deadlift,4,8,290,360,59,
2022/9/6,Pull Ups,7,5,147,165,5,
2022/9/4,Romanian Deadlift,2,8,205,254,43,
2022/9/4,Squat,4,6,303,358,74.25,
2022/9/3,Dumbbell Shoulder Press,1,12,40,57,26,
2022/9/3,Incline Bench Press,5,5,115,131,11.4,
2022/9/3,Shoulder Press,2,5,90,103,19.5,
2022/9/3,Bench Press,5,5,187,214,47.2,
2022/9/1,Preacher Curl,5,9,50,66,18.6,
2022/9/1,Pull Ups,4,10,132,176,8.25,
2022/9/1,Pendlay Row,5,5,151,171,31.4,
2022/9/1,Sumo Deadlift,5,3,355,388,52.8,
2022/8/8,Pendlay Row,8,7,111,133,10,
2022/8/8,Deadlift,6,8,244,302,35,
2022/8/8,Pull Ups,9,5,151,169,6,
2022/8/6,Sled Leg Press,8,7,303,363,23,
2022/8/6,Romanian Deadlift,7,8,184,228,31,
2022/8/6,Squat,8,5,291,327,65,
2022/8/5,Dumbbell Bench Press,2,7,45,54,12,
2022/8/5,Incline Dumbbell Bench Press,1,7,45,54,8,
2022/8/5,Dumbbell Shoulder Press,2,12,40,57,25,
2022/8/5,Shoulder Press,4,9,92,119,29.75,
2022/8/5,Bench Press,6,5,187,210,44,
2022/8/3,Seated Cable Row,4,9,125,162,29.75,
2022/8/3,Pull Ups,3,9,149,191,13.6667,
2022/8/3,Sumo Deadlift,4,3,361,391,54,
2022/7/31,Sumo Deadlift,2,1,505,505,85,
2022/7/31,Squat,1,1,425,425,90,
2022/7/31,Bench Press,1,1,250,250,64,
2022/7/29,Deadlift,3,4,290,320,41,
2022/7/29,Pendlay Row,3,7,135,161,23,
2022/7/29,Pull Ups,8,5,145,168,6.25,
2022/7/27,Sled Leg Press,6,8,370,459,41,
2022/7/27,Squat,4,7,291,358,68.75,
2022/7/26,Incline Dumbbell Bench Press,3,7,55,67,20.6667,
2022/7/26,Bench Press,5,6,186,219,48.4,
2022/7/25,Seated Cable Row,5,10,125,166,32,
2022/7/25,Pull Ups,3,10,139,185,11,
2022/7/25,Sumo Deadlift,10,5,323,367,45.6,
2022/7/20,Shoulder Press,1,2,100,102,17,
2022/7/20,Incline Dumbbell Bench Press,1,10,55,73,27,
2022/7/20,Bench Press,6,4,186,207,41.3333,
2022/7/20,Seated Cable Row,6,10,125,166,31,
2022/7/20,Pull Ups,2,10,146,194,13,
2022/7/19,Sumo Deadlift,6,5,316,355,39,
2022/7/13,Incline Dumbbell Bench Press,5,8,60,74,28,
2022/7/13,Shoulder Press,10,3,117,126,34.5,
2022/7/12,Deadlift,5,6,310,360,57,
2022/7/12,Seated Cable Row,6,8,125,155,25.1667,
2022/7/12,Pull Ups,4,3,183,194,14,
2022/7/10,Romanian Deadlift,10,5,195,223,30,
2022/7/10,Squat,7,4,321,354,72,
2022/7/9,Dumbbell Shoulder Press,10,8,45,55,25,
2022/7/9,Bench Press,5,3,214,229,55.4,
2022/7/8,Chin Ups,5,7,169,204,17.6,
2022/7/8,Pendlay Row,5,7,150,181,37,
2022/7/8,Sumo Deadlift,3,3,391,414,62.6667,
2022/7/6,Romanian Deadlift,5,7,190,228,29,
2022/7/6,Sled Leg Press,10,7,365,441,35.6,
2022/7/5,Incline Dumbbell Bench Press,3,9,60,77,31,
2022/7/5,Shoulder Press,10,4,105,118,27.6,
2022/7/4,Deadlift,5,3,315,336,47,
2022/7/4,Seated Cable Row,6,9,115,152,22.8333,
2022/7/4,Pull Ups,4,5,183,207,19.25,
2022/7/2,Romanian Deadlift,4,7,190,229,32.75,
2022/7/2,Squat,3,6,320,392,78.3333,
2022/7/1,Dumbbell Shoulder Press,6,9,45,57,28,
2022/7/1,Bench Press,5,4,200,218,49.8,
2022/6/30,Chin Ups,4,7,178,216,25,
2022/6/30,Pendlay Row,3,6,150,178,36,
2022/6/30,Sumo Deadlift,7,3,360,388,54.8571,
2022/6/29,Romanian Deadlift,4,6,190,226,31.75,
2022/6/29,Sled Leg Press,9,10,340,453,41,
2022/6/28,Dumbbell Bench Press,9,10,42,56,15,
2022/6/28,Shoulder Press,4,6,104,122,33.5,
2022/6/27,Seated Cable Row,4,10,105,140,19,
2022/6/27,Pull Ups,8,5,144,165,5.75,
2022/6/24,Squat,3,7,305,378,77.6667,
2022/6/23,Neck Extension,3,18,31,59,30,
